,date,vix
0,2022-05-23,19
1,2022-05-20,19
2,2022-05-19,20
3,2022-05-18,18
4,2022-05-17,19
5,2022-05-16,20
6,2022-05-13,19
7,2022-05-12,22
8,2022-05-11,21
9,2022-05-10,22
10,2022-05-09,21
11,2022-05-06,20
12,2022-05-04,19
13,2022-05-03,20
14,2022-05-02,20
15,2022-04-29,18
16,2022-04-28,20
17,2022-04-27,21
18,2022-04-26,19
19,2022-04-25,21
20,2022-04-22,17
21,2022-04-21,16
22,2022-04-20,17
23,2022-04-19,17
24,2022-04-18,18
25,2022-04-15,17
26,2022-04-14,17
27,2022-04-13,17
28,2022-04-12,18
29,2022-04-11,17
30,2022-04-08,17
31,2022-04-07,17
32,2022-04-06,16
33,2022-04-05,15
34,2022-04-04,16
35,2022-04-01,17
36,2022-03-31,17
37,2022-03-30,17
38,2022-03-29,18
39,2022-03-28,19
40,2022-03-25,19
41,2022-03-24,19
42,2022-03-23,19
43,2022-03-22,21
44,2022-03-21,22
45,2022-03-18,21
46,2022-03-17,22
47,2022-03-16,23
48,2022-03-15,25
49,2022-03-14,24
50,2022-03-11,24
51,2022-03-10,25
52,2022-03-08,28
53,2022-03-07,27
54,2022-03-04,24
55,2022-03-03,22
56,2022-03-02,24
57,2022-02-28,24
58,2022-02-25,23
59,2022-02-24,27
60,2022-02-23,24
61,2022-02-22,25
62,2022-02-21,23
63,2022-02-18,23
64,2022-02-17,23
65,2022-02-16,21
66,2022-02-15,24
67,2022-02-14,23
68,2022-02-11,20
69,2022-02-10,19
70,2022-02-09,19
71,2022-02-08,21
72,2022-02-07,21
73,2022-02-04,21
74,2022-02-03,22
75,2022-01-28,23
76,2022-01-27,27
77,2022-01-26,24
78,2022-01-25,26
79,2022-01-24,21
80,2022-01-21,19
81,2022-01-20,17
82,2022-01-19,18
83,2022-01-18,18
84,2022-01-17,17
85,2022-01-14,16
86,2022-01-13,15
87,2022-01-12,15
88,2022-01-11,17
89,2022-01-10,17
90,2022-01-07,16
91,2022-01-06,17
92,2022-01-05,16
93,2022-01-04,16
94,2022-01-03,16
95,2021-12-30,16
96,2021-12-29,16
97,2021-12-28,17
98,2021-12-27,17
99,2021-12-24,16
100,2021-12-23,16
101,2021-12-22,17
102,2021-12-21,18
103,2021-12-20,19
104,2021-12-17,17
105,2021-12-16,16
106,2021-12-15,18
107,2021-12-14,18
108,2021-12-13,18
109,2021-12-10,17
110,2021-12-09,16
111,2021-12-08,17
112,2021-12-07,18
113,2021-12-06,20
114,2021-12-03,20
115,2021-12-02,21
116,2021-12-01,20
117,2021-11-30,23
118,2021-11-29,20
